policy,Delivered (Gb),Completion,SLA,Dropped,Wait (s),Beam util,Fairness,Energy (kJ),Gb/kJ,Interrupted,Recovery (s),Handovers,Decision (ms),% of optimal
fcfs/strongest + priority + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.028,92%
edf/strongest + priority + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.029,92%
sjf/strongest + priority + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.028,92%
priority/nearest + priority + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.031,92%
hungarian/throughput + priority + fixed + coloring,203.9,32%,30%,77%,46,2%,0.13,5,40.27,0,75,0,0.101,92%
hungarian/priority + priority + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.137,92%
mip + priority + fixed + coloring,203.9,32%,30%,77%,46,2%,0.13,5,40.27,0,75,0,0.285,92%
fcfs/strongest + priority + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.027,92%
edf/strongest + priority + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.026,92%
sjf/strongest + priority + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.025,92%
priority/nearest + priority + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.025,92%
hungarian/throughput + priority + fixed + same,201.9,30%,30%,78%,48,3%,0.13,5,38.43,0,75,0,0.087,92%
hungarian/priority + priority + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.087,92%
mip + priority + fixed + same,201.9,30%,30%,78%,48,3%,0.13,5,38.43,0,75,0,0.255,92%
fcfs/strongest + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.025,95%
edf/strongest + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.025,95%
sjf/strongest + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.024,95%
priority/nearest + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.026,95%
hungarian/throughput + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.23,0,75,0,0.093,95%
hungarian/priority + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.097,95%
mip + priority + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.23,0,75,0,0.263,95%
fcfs/strongest + priority + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.027,95%
edf/strongest + priority + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.027,95%
sjf/strongest + priority + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.025,95%
priority/nearest + priority + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.025,95%
hungarian/throughput + priority + adaptive + same,210.5,32%,30%,77%,46,2%,0.13,9,23.76,0,75,0,0.105,95%
hungarian/priority + priority + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.100,95%
mip + priority + adaptive + same,210.5,32%,30%,77%,46,2%,0.13,9,23.76,0,75,0,0.289,95%
fcfs/strongest + priority + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.026,95%
edf/strongest + priority + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.025,95%
sjf/strongest + priority + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.024,95%
priority/nearest + priority + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.025,95%
hungarian/throughput + priority + minenergy + coloring,210.1,32%,30%,77%,46,2%,0.13,7,29.21,0,75,0,0.082,95%
hungarian/priority + priority + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.084,95%
mip + priority + minenergy + coloring,210.1,32%,30%,77%,46,2%,0.13,7,29.21,0,75,0,0.241,95%
fcfs/strongest + priority + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.026,95%
edf/strongest + priority + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.044,95%
sjf/strongest + priority + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.032,95%
priority/nearest + priority + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.033,95%
hungarian/throughput + priority + minenergy + same,209.5,32%,30%,77%,46,2%,0.13,8,27.52,0,75,0,0.106,95%
hungarian/priority + priority + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.102,95%
mip + priority + minenergy + same,209.5,32%,30%,77%,46,2%,0.13,8,27.52,0,75,0,0.382,95%
fcfs/strongest + maxrate + fixed + coloring,178.5,30%,30%,80%,48,3%,0.14,6,28.32,0,75,0,0.031,83%
edf/strongest + maxrate + fixed + coloring,178.5,30%,30%,80%,48,3%,0.14,6,28.32,0,75,0,0.037,83%
sjf/strongest + maxrate + fixed + coloring,178.5,30%,30%,80%,48,3%,0.14,6,28.32,0,75,0,0.043,83%
priority/nearest + maxrate + fixed + coloring,178.5,30%,30%,80%,48,3%,0.14,6,28.32,0,75,0,0.035,83%
hungarian/throughput + maxrate + fixed + coloring,178.6,30%,30%,80%,48,3%,0.14,6,28.57,0,75,0,0.099,83%
hungarian/priority + maxrate + fixed + coloring,178.5,30%,30%,80%,48,3%,0.14,6,28.32,0,75,0,0.131,83%
mip + maxrate + fixed + coloring,178.6,30%,30%,80%,48,3%,0.14,6,28.57,0,75,0,0.279,83%
fcfs/strongest + maxrate + fixed + same,176.1,30%,30%,80%,48,3%,0.14,6,27.50,0,75,0,0.029,82%
edf/strongest + maxrate + fixed + same,176.1,30%,30%,80%,48,3%,0.14,6,27.50,0,75,0,0.030,82%
sjf/strongest + maxrate + fixed + same,176.1,30%,30%,80%,48,3%,0.14,6,27.50,0,75,0,0.032,82%
priority/nearest + maxrate + fixed + same,176.1,30%,30%,80%,48,3%,0.14,6,27.50,0,75,0,0.035,82%
hungarian/throughput + maxrate + fixed + same,175.9,30%,30%,80%,49,3%,0.14,6,27.17,0,75,0,0.117,82%
hungarian/priority + maxrate + fixed + same,176.1,30%,30%,80%,48,3%,0.14,6,27.50,0,75,0,0.111,82%
mip + maxrate + fixed + same,175.9,30%,30%,80%,49,3%,0.14,6,27.17,0,75,0,0.258,82%
fcfs/strongest + maxrate + adaptive + coloring,185.0,30%,30%,79%,48,3%,0.14,9,20.41,0,75,0,0.029,85%
edf/strongest + maxrate + adaptive + coloring,185.0,30%,30%,79%,48,3%,0.14,9,20.41,0,75,0,0.027,85%
sjf/strongest + maxrate + adaptive + coloring,185.0,30%,30%,79%,48,3%,0.14,9,20.41,0,75,0,0.028,85%
priority/nearest + maxrate + adaptive + coloring,185.0,30%,30%,79%,48,3%,0.14,9,20.41,0,75,0,0.031,85%
hungarian/throughput + maxrate + adaptive + coloring,185.1,30%,30%,79%,48,3%,0.14,9,20.50,0,75,0,0.095,85%
hungarian/priority + maxrate + adaptive + coloring,185.0,30%,30%,79%,48,3%,0.14,9,20.41,0,75,0,0.107,85%
mip + maxrate + adaptive + coloring,185.1,30%,30%,79%,48,3%,0.14,9,20.50,0,75,0,0.275,85%
fcfs/strongest + maxrate + adaptive + same,182.2,30%,30%,80%,48,3%,0.14,9,19.55,0,75,0,0.029,84%
edf/strongest + maxrate + adaptive + same,182.2,30%,30%,80%,48,3%,0.14,9,19.55,0,75,0,0.029,84%
sjf/strongest + maxrate + adaptive + same,182.2,30%,30%,80%,48,3%,0.14,9,19.55,0,75,0,0.029,84%
priority/nearest + maxrate + adaptive + same,182.2,30%,30%,80%,48,3%,0.14,9,19.55,0,75,0,0.035,84%
hungarian/throughput + maxrate + adaptive + same,182.0,30%,30%,80%,49,3%,0.14,9,19.30,0,75,0,0.104,84%
hungarian/priority + maxrate + adaptive + same,182.2,30%,30%,80%,48,3%,0.14,9,19.55,0,75,0,0.099,84%
mip + maxrate + adaptive + same,182.0,30%,30%,80%,49,3%,0.14,9,19.30,0,75,0,0.259,84%
fcfs/strongest + maxrate + minenergy + coloring,183.2,30%,30%,80%,48,3%,0.14,8,24.40,0,75,0,0.029,85%
edf/strongest + maxrate + minenergy + coloring,183.2,30%,30%,80%,48,3%,0.14,8,24.40,0,75,0,0.028,85%
sjf/strongest + maxrate + minenergy + coloring,183.2,30%,30%,80%,48,3%,0.14,8,24.40,0,75,0,0.029,85%
priority/nearest + maxrate + minenergy + coloring,183.2,30%,30%,80%,48,3%,0.14,8,24.40,0,75,0,0.029,85%
hungarian/throughput + maxrate + minenergy + coloring,183.4,30%,30%,80%,48,3%,0.14,7,24.55,0,75,0,0.092,85%
hungarian/priority + maxrate + minenergy + coloring,183.2,30%,30%,80%,48,3%,0.14,8,24.40,0,75,0,0.100,85%
mip + maxrate + minenergy + coloring,183.4,30%,30%,80%,48,3%,0.14,7,24.55,0,75,0,0.286,85%
fcfs/strongest + maxrate + minenergy + same,180.6,30%,30%,80%,48,3%,0.14,8,23.52,0,75,0,0.029,83%
edf/strongest + maxrate + minenergy + same,180.6,30%,30%,80%,48,3%,0.14,8,23.52,0,75,0,0.031,83%
sjf/strongest + maxrate + minenergy + same,180.6,30%,30%,80%,48,3%,0.14,8,23.52,0,75,0,0.033,83%
priority/nearest + maxrate + minenergy + same,180.6,30%,30%,80%,48,3%,0.14,8,23.52,0,75,0,0.037,83%
hungarian/throughput + maxrate + minenergy + same,180.4,30%,30%,80%,49,3%,0.14,8,23.23,0,75,0,0.119,83%
hungarian/priority + maxrate + minenergy + same,180.6,30%,30%,80%,48,3%,0.14,8,23.52,0,75,0,0.112,83%
mip + maxrate + minenergy + same,180.4,30%,30%,80%,49,3%,0.14,8,23.23,0,75,0,0.298,83%
fcfs/strongest + lp + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.029,92%
edf/strongest + lp + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.034,92%
sjf/strongest + lp + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.031,92%
priority/nearest + lp + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.035,92%
hungarian/throughput + lp + fixed + coloring,203.9,32%,30%,77%,46,2%,0.13,5,40.27,0,75,0,0.097,92%
hungarian/priority + lp + fixed + coloring,203.8,32%,30%,77%,46,3%,0.13,5,39.93,0,75,0,0.097,92%
mip + lp + fixed + coloring,203.9,32%,30%,77%,46,2%,0.13,5,40.27,0,75,0,0.238,92%
fcfs/strongest + lp + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.027,92%
edf/strongest + lp + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.027,92%
sjf/strongest + lp + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.028,92%
priority/nearest + lp + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.029,92%
hungarian/throughput + lp + fixed + same,201.9,30%,30%,78%,48,3%,0.13,5,38.43,0,75,0,0.093,92%
hungarian/priority + lp + fixed + same,202.1,30%,30%,78%,48,3%,0.13,5,38.77,0,75,0,0.094,92%
mip + lp + fixed + same,201.9,30%,30%,78%,48,3%,0.13,5,38.43,0,75,0,0.247,92%
fcfs/strongest + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.034,95%
edf/strongest + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.034,95%
sjf/strongest + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.035,95%
priority/nearest + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.040,95%
hungarian/throughput + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.23,0,75,0,0.140,95%
hungarian/priority + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.14,0,75,0,0.122,95%
mip + lp + adaptive + coloring,211.0,32%,30%,77%,46,2%,0.13,8,25.23,0,75,0,0.327,95%
fcfs/strongest + lp + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.028,95%
edf/strongest + lp + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.029,95%
sjf/strongest + lp + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.028,95%
priority/nearest + lp + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.028,95%
hungarian/throughput + lp + adaptive + same,210.5,32%,30%,77%,46,2%,0.13,9,23.76,0,75,0,0.096,95%
hungarian/priority + lp + adaptive + same,210.8,32%,30%,77%,46,2%,0.13,9,24.16,0,75,0,0.101,95%
mip + lp + adaptive + same,210.5,32%,30%,77%,46,2%,0.13,9,23.76,0,75,0,0.239,95%
fcfs/strongest + lp + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.027,95%
edf/strongest + lp + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.030,95%
sjf/strongest + lp + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.028,95%
priority/nearest + lp + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.030,95%
hungarian/throughput + lp + minenergy + coloring,210.1,32%,30%,77%,46,2%,0.13,7,29.21,0,75,0,0.093,95%
hungarian/priority + lp + minenergy + coloring,210.0,32%,30%,77%,46,2%,0.13,7,29.10,0,75,0,0.098,95%
mip + lp + minenergy + coloring,210.1,32%,30%,77%,46,2%,0.13,7,29.21,0,75,0,0.268,95%
fcfs/strongest + lp + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.030,95%
edf/strongest + lp + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.030,95%
sjf/strongest + lp + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.033,95%
priority/nearest + lp + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.038,95%
hungarian/throughput + lp + minenergy + same,209.5,32%,30%,77%,46,2%,0.13,8,27.52,0,75,0,0.100,95%
hungarian/priority + lp + minenergy + same,209.8,32%,30%,77%,46,2%,0.13,7,27.82,0,75,0,0.104,95%
mip + lp + minenergy + same,209.5,32%,30%,77%,46,2%,0.13,8,27.52,0,75,0,0.273,95%
