policy,Delivered (Gb),Completion,SLA,Dropped,Wait (s),Beam util,Fairness,Energy (kJ),Gb/kJ,Interrupted,Recovery (s),Handovers,Decision (ms),% of optimal
hungarian/throughput + maxrate + minenergy + same,970.0,86%,29%,18%,631,3%,0.43,42,22.42,0,0,0,0.111,84%
hungarian/priority + maxrate + minenergy + same,969.9,86%,29%,18%,631,3%,0.43,43,22.38,0,0,0,0.101,84%
mip + maxrate + minenergy + same,970.0,86%,29%,18%,631,3%,0.43,43,22.41,0,0,0,0.309,84%
fcfs/strongest + lp + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.033,99%
sjf/strongest + lp + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.038,99%
hungarian/throughput + lp + fixed + coloring,1124.3,95%,34%,4%,279,2%,0.45,27,42.08,0,0,0,0.134,99%
hungarian/priority + lp + fixed + coloring,1124.3,95%,34%,4%,278,2%,0.45,27,42.20,0,0,0,0.139,99%
mip + lp + fixed + coloring,1124.3,95%,34%,4%,279,2%,0.45,27,42.08,0,0,0,0.287,99%
fcfs/strongest + lp + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.21,0,0,0,0.073,89%
sjf/strongest + lp + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.29,0,0,0,0.077,89%
hungarian/throughput + lp + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,31,33.14,0,0,0,0.243,89%
hungarian/priority + lp + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,30,33.29,0,0,0,0.254,89%
mip + lp + fixed + same,1027.2,92%,32%,13%,376,3%,0.43,31,33.14,0,0,0,0.809,89%
fcfs/strongest + lp + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.57,0,0,0,0.108,100%
sjf/strongest + lp + adaptive + coloring,1138.8,96%,34%,3%,265,2%,0.45,39,29.57,0,0,0,0.105,100%
hungarian/throughput + lp + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.52,0,0,0,0.369,100%
hungarian/priority + lp + adaptive + coloring,1138.8,96%,34%,3%,265,2%,0.45,39,29.57,0,0,0,0.366,100%
mip + lp + adaptive + coloring,1138.8,96%,34%,3%,266,2%,0.45,39,29.52,0,0,0,0.810,100%
fcfs/strongest + lp + adaptive + same,1037.4,94%,34%,12%,298,2%,0.43,43,23.56,0,0,0,0.109,90%
sjf/strongest + lp + adaptive + same,1037.4,94%,34%,12%,297,2%,0.43,43,23.62,0,0,0,0.101,90%
hungarian/throughput + lp + adaptive + same,1037.4,94%,34%,12%,298,2%,0.43,43,23.53,0,0,0,0.248,90%
hungarian/priority + lp + adaptive + same,1037.4,94%,34%,12%,297,2%,0.43,43,23.62,0,0,0,0.242,90%
mip + lp + adaptive + same,1037.4,94%,34%,12%,298,2%,0.43,43,23.53,0,0,0,0.558,90%
fcfs/strongest + lp + minenergy + coloring,1137.4,96%,34%,3%,266,2%,0.45,32,36.12,0,0,0,0.036,100%
sjf/strongest + lp + minenergy + coloring,1137.4,96%,34%,3%,265,2%,0.45,31,36.14,0,0,0,0.036,100%
hungarian/throughput + lp + minenergy + coloring,1137.4,96%,34%,3%,266,2%,0.45,32,36.05,0,0,0,0.123,100%
hungarian/priority + lp + minenergy + coloring,1137.4,96%,34%,3%,265,2%,0.45,31,36.14,0,0,0,0.130,100%
mip + lp + minenergy + coloring,1137.4,96%,34%,3%,266,2%,0.45,32,36.05,0,0,0,0.296,100%
fcfs/strongest + lp + minenergy + same,1036.0,94%,34%,13%,298,2%,0.43,36,28.24,0,0,0,0.037,90%
sjf/strongest + lp + minenergy + same,1036.0,94%,34%,13%,297,2%,0.43,36,28.30,0,0,0,0.036,90%
hungarian/throughput + lp + minenergy + same,1036.0,94%,34%,13%,298,2%,0.43,36,28.19,0,0,0,0.158,90%
hungarian/priority + lp + minenergy + same,1036.0,94%,34%,13%,297,2%,0.43,36,28.30,0,0,0,0.129,90%
mip + lp + minenergy + same,1036.0,94%,34%,13%,298,2%,0.43,36,28.19,0,0,0,0.310,90%
